Model,Accuracy,Precision (Neg),Recall (Neg),F1 (Neg),Precision (Pos),Recall (Pos),F1 (Pos),Macro F1
Random Forest,0.9329842931937172,1.0,0.015384615384615385,0.030303030303030304,0.9329140461215933,1.0,0.96529284164859,0.4977979359758101
SVC,0.9643979057591623,0.803921568627451,0.6307692307692307,0.7068965517241379,0.9734513274336283,0.9887640449438202,0.9810479375696767,0.8439722446469073
Logistic Regression,0.949738219895288,0.6024096385542169,0.7692307692307693,0.6756756756756757,0.9827981651376146,0.9629213483146067,0.9727582292849035,0.8242169524802896
LinearSVC,0.9685863874345549,0.8431372549019608,0.6615384615384615,0.7413793103448276,0.9756637168141593,0.9910112359550561,0.9832775919732442,0.8623284511590359
